Gene_id	Description	Length	e-Value	GO
NGJCOJPH_00342	3-hydroxyacyl-ACP dehydratase FabZ	147	3.51043E-99	F:GO:0004317 F:3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity; C:GO:0005737 C:cytoplasm; P:GO:0006629 P:lipid metabolic process; P:GO:0006633 P:fatty acid biosynthetic process; F:GO:0008659 F:(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity; F:GO:0008693 F:3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity; P:GO:0009245 P:lipid A biosynthetic process; F:GO:0016829 F:lyase activity; F:GO:0016836 F:hydro-lyase activity; F:GO:0019171 F:3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity; F:GO:0047451 F:3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
NGJCOJPH_01487	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA	169	2.16201E-114	F:GO:0004317 F:3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity; C:GO:0005737 C:cytoplasm; P:GO:0006629 P:lipid metabolic process; P:GO:0006631 P:fatty acid metabolic process; P:GO:0006633 P:fatty acid biosynthetic process; F:GO:0008659 F:(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity; F:GO:0008693 F:3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity; F:GO:0016829 F:lyase activity; F:GO:0016853 F:isomerase activity; F:GO:0019171 F:3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity; F:GO:0034017 F:trans-2-decenoyl-acyl-carrier-protein isomerase activity; F:GO:0047451 F:3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity
NGJCOJPH_00961	3-oxoacyl-ACP reductase FabG	248	7.03272E-161	F:GO:0004316 F:3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; P:GO:0006629 P:lipid metabolic process; P:GO:0006631 P:fatty acid metabolic process; P:GO:0006633 P:fatty acid biosynthetic process; F:GO:0016491 F:oxidoreductase activity; F:GO:0051287 F:NAD binding
NGJCOJPH_01486	beta-ketoacyl-ACP synthase I	405	0.0	F:GO:0004315 F:3-oxoacyl-[acyl-carrier-protein] synthase activity; P:GO:0006633 P:fatty acid biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups; F:GO:0016747 F:transferase activity, transferring acyl groups other than amino-acyl groups
NGJCOJPH_00331	beta-ketoacyl-ACP synthase II	412	0.0	F:GO:0004315 F:3-oxoacyl-[acyl-carrier-protein] synthase activity; P:GO:0006629 P:lipid metabolic process; P:GO:0006631 P:fatty acid metabolic process; P:GO:0006633 P:fatty acid biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups; F:GO:0016747 F:transferase activity, transferring acyl groups other than amino-acyl groups
NGJCOJPH_00962	ACP S-malonyltransferase	310	0.0	F:GO:0004314 F:[acyl-carrier-protein] S-malonyltransferase activity; F:GO:0016419 F:S-malonyltransferase activity; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups
NGJCOJPH_00554	S8 family serine peptidase	119	7.31966E-28	F:GO:0004252 F:serine-type endopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008236 F:serine-type peptidase activity; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00883	S41 family peptidase	446	0.0	F:GO:0004252 F:serine-type endopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008236 F:serine-type peptidase activity; F:GO:0016787 F:hydrolase activity
NGJCOJPH_01302	S8 family serine peptidase	339	8.45338E-128	F:GO:0004252 F:serine-type endopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008236 F:serine-type peptidase activity; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00889	signal peptidase I	294	0.0	F:GO:0004252 F:serine-type endopeptidase activity; P:GO:0006465 P:signal peptide processing; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008236 F:serine-type peptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00071	insulinase family protein	441	0.0	F:GO:0004222 F:metalloendopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00329	M3 family metallopeptidase	636	0.0	F:GO:0004222 F:metalloendopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00524	M48 family metalloprotease	440	0.0	F:GO:0004222 F:metalloendopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00300	M48 family metallopeptidase	416	0.0	F:GO:0004222 F:metalloendopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding; P:GO:0071586 P:CAAX-box protein processing
NGJCOJPH_00345	RIP metalloprotease RseP	445	0.0	F:GO:0004222 F:metalloendopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00408	M48 family metalloprotease	338	0.0	F:GO:0004222 F:metalloendopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_01410	rRNA maturation RNase YbeY	145	9.14032E-88	F:GO:0004222 F:metalloendopeptidase activity; F:GO:0004518 F:nuclease activity; F:GO:0004519 F:endonuclease activity; F:GO:0004521 F:endoribonuclease activity; C:GO:0005737 C:cytoplasm; P:GO:0006364 P:rRNA processing; F:GO:0008270 F:zinc ion binding; F:GO:0016787 F:hydrolase activity; P:GO:0042254 P:ribosome biogenesis; F:GO:0046872 F:metal ion binding; P:GO:0090305 P:nucleic acid phosphodiester bond hydrolysis; P:GO:0090502 P:RNA phosphodiester bond hydrolysis, endonucleolytic
NGJCOJPH_00764	site-2 protease family protein	209	2.66803E-118	F:GO:0004222 F:metalloendopeptidase activity; C:GO:0005886 C:plasma membrane; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00560	YopT-type cysteine protease domain-containing protein	193	1.00691E-74	F:GO:0004197 F:cysteine-type endopeptidase activity
NGJCOJPH_00256	signal peptidase II	152	5.14555E-87	F:GO:0004190 F:aspartic-type endopeptidase activity; C:GO:0005886 C:plasma membrane; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00684	D-alanyl-D-alanine carboxypeptidase	375	0.0	F:GO:0004180 F:carboxypeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; P:GO:0008360 P:regulation of cell shape; F:GO:0009002 F:serine-type D-Ala-D-Ala carboxypeptidase activity; P:GO:0009252 P:peptidoglycan biosynthetic process; F:GO:0016787 F:hydrolase activity; P:GO:0071555 P:cell wall organization
NGJCOJPH_00233	transglycosylase domain-containing protein	222	2.80678E-128	F:GO:0004180 F:carboxypeptidase activity; F:GO:0008955 F:peptidoglycan glycosyltransferase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016740 F:transferase activity; F:GO:0016757 F:transferase activity, transferring glycosyl groups
NGJCOJPH_00842	penicillin-binding protein 2	627	0.0	F:GO:0004180 F:carboxypeptidase activity; F:GO:0008658 F:penicillin binding; F:GO:0008955 F:peptidoglycan glycosyltransferase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016740 F:transferase activity; F:GO:0016757 F:transferase activity, transferring glycosyl groups; P:GO:0051301 P:cell division
NGJCOJPH_00043	penicillin-binding protein 2	618	0.0	F:GO:0004180 F:carboxypeptidase activity; C:GO:0005886 C:plasma membrane; C:GO:0005887 C:integral component of plasma membrane; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; P:GO:0008360 P:regulation of cell shape; F:GO:0008658 F:penicillin binding; F:GO:0009002 F:serine-type D-Ala-D-Ala carboxypeptidase activity; P:GO:0009252 P:peptidoglycan biosynthetic process; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016740 F:transferase activity; F:GO:0016757 F:transferase activity, transferring glycosyl groups; F:GO:0016787 F:hydrolase activity; P:GO:0071555 P:cell wall organization
NGJCOJPH_01402	Xaa-Pro aminopeptidase	405	0.0	F:GO:0004177 F:aminopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; F:GO:0016787 F:hydrolase activity; F:GO:0030145 F:manganese ion binding; F:GO:0046872 F:metal ion binding; F:GO:0070006 F:metalloaminopeptidase activity
NGJCOJPH_00716	aminopeptidase N	841	0.0	F:GO:0004177 F:aminopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; F:GO:0008270 F:zinc ion binding; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00407	type I methionyl aminopeptidase	258	3.73326E-173	F:GO:0004177 F:aminopeptidase activity; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008235 F:metalloexopeptidase activity; F:GO:0016787 F:hydrolase activity; P:GO:0036211 P:protein modification process; F:GO:0046872 F:metal ion binding; F:GO:0046914 F:transition metal ion binding; F:GO:0070006 F:metalloaminopeptidase activity; P:GO:0070084 P:protein initiator methionine removal
NGJCOJPH_00545	leucyl aminopeptidase	502	0.0	F:GO:0004177 F:aminopeptidase activity; C:GO:0005737 C:cytoplasm; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008235 F:metalloexopeptidase activity; F:GO:0016787 F:hydrolase activity; P:GO:0019538 P:protein metabolic process; F:GO:0030145 F:manganese ion binding; F:GO:0046872 F:metal ion binding; F:GO:0070006 F:metalloaminopeptidase activity
NGJCOJPH_00926	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	198	3.65907E-136	F:GO:0004176 F:ATP-dependent peptidase activity; F:GO:0004252 F:serine-type endopeptidase activity; C:GO:0005737 C:cytoplasm; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008236 F:serine-type peptidase activity; F:GO:0016787 F:hydrolase activity
NGJCOJPH_01309	dihydropteroate synthase	270	3.26792E-178	F:GO:0004156 F:dihydropteroate synthase activity; P:GO:0009396 P:folic acid-containing compound biosynthetic process; F:GO:0016740 F:transferase activity; P:GO:0042558 P:pteridine-containing compound metabolic process; P:GO:0046654 P:tetrahydrofolate biosynthetic process; P:GO:0046656 P:folic acid biosynthetic process; F:GO:0046872 F:metal ion binding
NGJCOJPH_01203	dihydroorotate dehydrogenase	321	0.0	F:GO:0004152 F:dihydroorotate dehydrogenase activity; F:GO:0004589 F:orotate reductase (NADH) activity; C:GO:0005737 C:cytoplasm; P:GO:0006207 P:'de novo' pyrimidine nucleobase biosynthetic process; P:GO:0006221 P:pyrimidine nucleotide biosynthetic process; P:GO:0006222 P:UMP biosynthetic process; F:GO:0016491 F:oxidoreductase activity; F:GO:0016627 F:oxidoreductase activity, acting on the CH-CH group of donors; P:GO:0044205 P:'de novo' UMP biosynthetic process
NGJCOJPH_01193	Dihydroorotase	345	0.0	F:GO:0004151 F:dihydroorotase activity; P:GO:0006221 P:pyrimidine nucleotide biosynthetic process; F:GO:0008270 F:zinc ion binding; F:GO:0016787 F:hydrolase activity; F:GO:0016812 F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides; P:GO:0019856 P:pyrimidine nucleobase biosynthetic process; P:GO:0044205 P:'de novo' UMP biosynthetic process; F:GO:0046872 F:metal ion binding
NGJCOJPH_01464	Dihydrofolate reductase	168	1.50765E-106	F:GO:0004146 F:dihydrofolate reductase activity; P:GO:0006545 P:glycine biosynthetic process; P:GO:0006730 P:one-carbon metabolic process; F:GO:0016491 F:oxidoreductase activity; P:GO:0046654 P:tetrahydrofolate biosynthetic process; F:GO:0050661 F:NADP binding
NGJCOJPH_01178	cytochrome-c oxidase, cbb3-type subunit I	472	0.0	F:GO:0004129 F:cytochrome-c oxidase activity; P:GO:0006119 P:oxidative phosphorylation; P:GO:0009060 P:aerobic respiration; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016491 F:oxidoreductase activity; F:GO:0020037 F:heme binding; P:GO:0022900 P:electron transport chain; C:GO:0045278 C:plasma membrane respiratory chain complex IV; F:GO:0046872 F:metal ion binding; C:GO:0070469 C:respiratory chain; P:GO:1902600 P:proton transmembrane transport
NGJCOJPH_00077	cysteine synthase CysM	299	0.0	F:GO:0004124 F:cysteine synthase activity; P:GO:0006535 P:cysteine biosynthetic process from serine; P:GO:0008652 P:cellular amino acid biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016765 F:transferase activity, transferring alkyl or aryl (other than methyl) groups; P:GO:0019344 P:cysteine biosynthetic process
NGJCOJPH_00653	oxygen-dependent coproporphyrinogen oxidase	305	0.0	F:GO:0004109 F:coproporphyrinogen oxidase activity; C:GO:0005737 C:cytoplasm; P:GO:0006779 P:porphyrin-containing compound biosynthetic process; P:GO:0006782 P:protoporphyrinogen IX biosynthetic process; P:GO:0006783 P:heme biosynthetic process; F:GO:0016491 F:oxidoreductase activity; F:GO:0042803 F:protein homodimerization activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00275	Chorismate synthase	365	0.0	F:GO:0004107 F:chorismate synthase activity; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009073 P:aromatic amino acid family biosynthetic process; P:GO:0009423 P:chorismate biosynthetic process; F:GO:0016829 F:lyase activity
NGJCOJPH_01506	Carbonic anhydrase	202	1.11991E-132	F:GO:0004089 F:carbonate dehydratase activity; F:GO:0008270 F:zinc ion binding; F:GO:0016829 F:lyase activity
NGJCOJPH_01512	biotin--[acetyl-CoA-carboxylase] ligase	260	1.33796E-156	F:GO:0004077 F:biotin-[acetyl-CoA-carboxylase] ligase activity; F:GO:0004079 F:biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016874 F:ligase activity; P:GO:0036211 P:protein modification process
NGJCOJPH_01029	Aspartate-semialdehyde dehydrogenase	341	0.0	F:GO:0004073 F:aspartate-semialdehyde dehydrogenase activity; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009085 P:lysine biosynthetic process; P:GO:0009086 P:methionine biosynthetic process; P:GO:0009088 P:threonine biosynthetic process; P:GO:0009089 P:lysine biosynthetic process via diaminopimelate; P:GO:0009097 P:isoleucine biosynthetic process; F:GO:0016491 F:oxidoreductase activity; F:GO:0016620 F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; P:GO:0019877 P:diaminopimelate biosynthetic process; F:GO:0046983 F:protein dimerization activity; F:GO:0050661 F:NADP binding; F:GO:0051287 F:NAD binding; P:GO:0071266 P:'de novo' L-methionine biosynthetic process
NGJCOJPH_01250	aspartate carbamoyltransferase catalytic subunit	320	0.0	F:GO:0004070 F:aspartate carbamoyltransferase activity; P:GO:0006207 P:'de novo' pyrimidine nucleobase biosynthetic process; P:GO:0006221 P:pyrimidine nucleotide biosynthetic process; P:GO:0006520 P:cellular amino acid metabolic process; F:GO:0016597 F:amino acid binding; F:GO:0016740 F:transferase activity; F:GO:0016743 F:carboxyl- or carbamoyltransferase activity; P:GO:0044205 P:'de novo' UMP biosynthetic process
NGJCOJPH_01071	phosphocholine cytidylyltransferase family protein	50	1.84196E-18	F:GO:0004069 F:L-aspartate:2-oxoglutarate aminotransferase activity; F:GO:0004105 F:choline-phosphate cytidylyltransferase activity; P:GO:0006657 P:CDP-choline pathway; F:GO:0008483 F:transaminase activity; P:GO:0009058 P:biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016779 F:nucleotidyltransferase activity
NGJCOJPH_01525	aspartate 1-decarboxylase	123	6.63564E-77	F:GO:0004068 F:aspartate 1-decarboxylase activity; C:GO:0005737 C:cytoplasm; P:GO:0006523 P:alanine biosynthetic process; P:GO:0015940 P:pantothenate biosynthetic process; F:GO:0016829 F:lyase activity; F:GO:0016831 F:carboxy-lyase activity
NGJCOJPH_00509	asparaginase domain-containing protein	161	3.13537E-101	F:GO:0004067 F:asparaginase activity; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00944	anthranilate/aminodeoxychorismate synthase component II	195	4.7138E-136	F:GO:0004049 F:anthranilate synthase activity; F:GO:0016829 F:lyase activity; P:GO:0071704 P:organic substance metabolic process
NGJCOJPH_00431	aminodeoxychorismate synthase component I	429	0.0	F:GO:0004049 F:anthranilate synthase activity; F:GO:0008483 F:transaminase activity; P:GO:0009058 P:biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016829 F:lyase activity; P:GO:0044249 P:cellular biosynthetic process; F:GO:0046820 F:4-amino-4-deoxychorismate synthase activity; P:GO:1901576 P:organic substance biosynthetic process
NGJCOJPH_00969	glycine cleavage system aminomethyltransferase GcvT	358	0.0	F:GO:0004047 F:aminomethyltransferase activity; P:GO:0006546 P:glycine catabolic process; F:GO:0008168 F:methyltransferase activity; F:GO:0008483 F:transaminase activity; F:GO:0016740 F:transferase activity; P:GO:0019464 P:glycine decarboxylation via glycine cleavage system; P:GO:0032259 P:methylation
NGJCOJPH_01339	aminoacyl-tRNA hydrolase	191	1.88491E-117	F:GO:0004045 F:aminoacyl-tRNA hydrolase activity; C:GO:0005737 C:cytoplasm; P:GO:0006412 P:translation; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00606	GNAT family N-acetyltransferase	141	3.82454E-83	F:GO:0004042 F:acetyl-CoA:L-glutamate N-acetyltransferase activity; C:GO:0005737 C:cytoplasm; P:GO:0006526 P:arginine biosynthetic process; F:GO:0016407 F:acetyltransferase activity; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups; F:GO:0103045 F:methione N-acyltransferase activity
NGJCOJPH_00937	glucosaminidase domain-containing protein	227	3.96768E-145	F:GO:0004040 F:amidase activity
NGJCOJPH_01517	Alkaline phosphatase (EC	192	3.9347E-78	F:GO:0004035 F:alkaline phosphatase activity; F:GO:0005509 F:calcium ion binding; C:GO:0005576 C:extracellular region; C:GO:0016020 C:membrane; F:GO:0016787 F:hydrolase activity; P:GO:0035821 P:modification of morphology or physiology of other organism; F:GO:0090729 F:toxin activity
NGJCOJPH_00213	aldehyde dehydrogenase	460	0.0	F:GO:0004029 F:aldehyde dehydrogenase (NAD) activity; F:GO:0016491 F:oxidoreductase activity; F:GO:0016620 F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; F:GO:0043878 F:glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity
NGJCOJPH_00117	adenosylhomocysteinase	465	0.0	F:GO:0004013 F:adenosylhomocysteinase activity; P:GO:0006730 P:one-carbon metabolic process; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00787	FIG00003370: Multicopper polyphenol oxidase	237	3.88542E-154	F:GO:0004000 F:adenosine deaminase activity; F:GO:0004731 F:purine-nucleoside phosphorylase activity; F:GO:0016740 F:transferase activity; F:GO:0017061 F:S-methyl-5-thioadenosine phosphorylase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_01348	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	148	7.24885E-83	F:GO:0003989 F:acetyl-CoA carboxylase activity; P:GO:0006629 P:lipid metabolic process; P:GO:0006631 P:fatty acid metabolic process; P:GO:0006633 P:fatty acid biosynthetic process; C:GO:0009317 C:acetyl-CoA carboxylase complex; F:GO:0016874 F:ligase activity
NGJCOJPH_00710	acetolactate synthase small subunit	160	1.22415E-100	F:GO:0003984 F:acetolactate synthase activity; C:GO:0005737 C:cytoplasm; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009082 P:branched-chain amino acid biosynthetic process; P:GO:0009097 P:isoleucine biosynthetic process; P:GO:0009099 P:valine biosynthetic process; F:GO:0016740 F:transferase activity; P:GO:0050790 P:regulation of catalytic activity; F:GO:1990610 F:acetolactate synthase regulator activity
NGJCOJPH_01091	UTP--glucose-1-phosphate uridylyltransferase	276	0.0	F:GO:0003983 F:UTP:glucose-1-phosphate uridylyltransferase activity; P:GO:0006011 P:UDP-glucose metabolic process; P:GO:0009058 P:biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016779 F:nucleotidyltransferase activity
NGJCOJPH_00808	glycolate oxidase subunit GlcF	376	0.0	F:GO:0003973 F:(S)-2-hydroxy-acid oxidase activity; F:GO:0016491 F:oxidoreductase activity; F:GO:0019154 F:glycolate dehydrogenase activity; F:GO:0046872 F:metal ion binding; F:GO:0047809 F:D-2-hydroxy-acid dehydrogenase activity; F:GO:0051536 F:iron-sulfur cluster binding; F:GO:0051539 F:4 iron, 4 sulfur cluster binding
NGJCOJPH_01346	N-acetyl-gamma-glutamyl-phosphate reductase	340	0.0	F:GO:0003942 F:N-acetyl-gamma-glutamyl-phosphate reductase activity; C:GO:0005737 C:cytoplasm; P:GO:0006526 P:arginine biosynthetic process; P:GO:0008652 P:cellular amino acid biosynthetic process; F:GO:0016491 F:oxidoreductase activity; F:GO:0016620 F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; F:GO:0046983 F:protein dimerization activity; F:GO:0051287 F:NAD binding
NGJCOJPH_00831	GTP cyclohydrolase I FolE2	264	0.0	F:GO:0003933 F:GTP cyclohydrolase activity; F:GO:0003934 F:GTP cyclohydrolase I activity; F:GO:0016787 F:hydrolase activity; P:GO:0035998 P:7,8-dihydroneopterin 3'-triphosphate biosynthetic process
NGJCOJPH_00457	DNA ligase	631	0.0	F:GO:0003911 F:DNA ligase (NAD+) activity; P:GO:0006259 P:DNA metabolic process; P:GO:0006260 P:DNA replication; P:GO:0006281 P:DNA repair; P:GO:0006974 P:cellular response to DNA damage stimulus; F:GO:0016874 F:ligase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_01553	DNA ligase	273	1.75808E-140	F:GO:0003909 F:DNA ligase activity; F:GO:0003910 F:DNA ligase (ATP) activity; F:GO:0005524 F:ATP binding; P:GO:0006281 P:DNA repair; P:GO:0006310 P:DNA recombination; F:GO:0016874 F:ligase activity
NGJCOJPH_00530	DNA polymerase III subunit delta'	335	0.0	F:GO:0003887 F:DNA-directed DNA polymerase activity; F:GO:0016740 F:transferase activity; F:GO:0016779 F:nucleotidyltransferase activity; P:GO:0071897 P:DNA biosynthetic process
NGJCOJPH_00817	DNA cytosine methyltransferase	328	0.0	F:GO:0003886 F:DNA (cytosine-5-)-methyltransferase activity; F:GO:0008168 F:methyltransferase activity; P:GO:0009307 P:DNA restriction-modification system; F:GO:0016740 F:transferase activity; P:GO:0032259 P:methylation; P:GO:0090116 P:C-5 methylation of cytosine
NGJCOJPH_00708	CDP-diacylglycerol--serine O-phosphatidyltransferase	248	5.26884E-166	F:GO:0003882 F:CDP-diacylglycerol-serine O-phosphatidyltransferase activity; P:GO:0008654 P:phospholipid biosynthetic process; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016740 F:transferase activity; F:GO:0016780 F:phosphotransferase activity, for other substituted phosphate groups
NGJCOJPH_01436	6-phosphofructokinase	414	0.0	F:GO:0003872 F:6-phosphofructokinase activity; C:GO:0005737 C:cytoplasm; P:GO:0006002 P:fructose 6-phosphate metabolic process; P:GO:0006096 P:glycolytic process; F:GO:0016301 F:kinase activity; P:GO:0016310 P:phosphorylation; F:GO:0016740 F:transferase activity; P:GO:0046835 P:carbohydrate phosphorylation; F:GO:0046872 F:metal ion binding; F:GO:0047334 F:diphosphate-fructose-6-phosphate 1-phosphotransferase activity; P:GO:0061615 P:glycolytic process through fructose-6-phosphate
NGJCOJPH_01509	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	758	0.0	F:GO:0003871 F:5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; F:GO:0008168 F:methyltransferase activity; F:GO:0008172 F:S-methyltransferase activity; F:GO:0008270 F:zinc ion binding; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009086 P:methionine biosynthetic process; F:GO:0016740 F:transferase activity; P:GO:0032259 P:methylation; F:GO:0046872 F:metal ion binding
NGJCOJPH_00860	3-isopropylmalate dehydratase large subunit	466	0.0	F:GO:0003861 F:3-isopropylmalate dehydratase activity; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009082 P:branched-chain amino acid biosynthetic process; P:GO:0009098 P:leucine biosynthetic process; F:GO:0016829 F:lyase activity; P:GO:0043436 P:oxoacid metabolic process; F:GO:0046872 F:metal ion binding; F:GO:0051536 F:iron-sulfur cluster binding; F:GO:0051539 F:4 iron, 4 sulfur cluster binding; P:GO:1901564 P:organonitrogen compound metabolic process
NGJCOJPH_00861	3-isopropylmalate dehydratase small subunit	204	2.04354E-135	F:GO:0003861 F:3-isopropylmalate dehydratase activity; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009082 P:branched-chain amino acid biosynthetic process; P:GO:0009098 P:leucine biosynthetic process; C:GO:0009316 C:3-isopropylmalate dehydratase complex; F:GO:0016829 F:lyase activity
NGJCOJPH_01349	type II 3-dehydroquinate dehydratase	149	2.58653E-90	F:GO:0003855 F:3-dehydroquinate dehydratase activity; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009073 P:aromatic amino acid family biosynthetic process; P:GO:0009423 P:chorismate biosynthetic process; F:GO:0016829 F:lyase activity
NGJCOJPH_00830	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	355	0.0	F:GO:0003849 F:3-deoxy-7-phosphoheptulonate synthase activity; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009058 P:biosynthetic process; P:GO:0009073 P:aromatic amino acid family biosynthetic process; P:GO:0009423 P:chorismate biosynthetic process; F:GO:0016740 F:transferase activity
NGJCOJPH_01488	O-succinylhomoserine sulfhydrylase	388	0.0	F:GO:0003824 F:catalytic activity; P:GO:0008652 P:cellular amino acid biosynthetic process; P:GO:0009086 P:methionine biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016765 F:transferase activity, transferring alkyl or aryl (other than methyl) groups; F:GO:0016829 F:lyase activity; P:GO:0019346 P:transsulfuration; F:GO:0030170 F:pyridoxal phosphate binding; P:GO:0071266 P:'de novo' L-methionine biosynthetic process; P:GO:0071268 P:homocysteine biosynthetic process
