Gene_id	K
TRINITY_DN20742_c0_g1_i11.p1	K23215
TRINITY_DN20743_c0_g4_i1.p1	K08501
TRINITY_DN20748_c0_g1_i1.p1	K20176
TRINITY_DN20755_c0_g1_i3.p1	K24104
TRINITY_DN20756_c0_g1_i2.p1	K06111
TRINITY_DN20769_c0_g1_i2.p1	K23368
TRINITY_DN20771_c3_g1_i7.p1	K21853
TRINITY_DN20778_c0_g2_i3.p1	K07378
TRINITY_DN20778_c2_g1_i2.p1	K22555
TRINITY_DN20781_c1_g1_i2.p1	K14662
TRINITY_DN20783_c0_g1_i1.p1	K16795
TRINITY_DN20785_c5_g1_i1.p1	K23012
TRINITY_DN20787_c0_g1_i2.p1	K13100
TRINITY_DN20794_c0_g1_i2.p1	K12874
TRINITY_DN20796_c0_g2_i2.p1	K11658
TRINITY_DN2079_c0_g4_i2.p1	K01363
TRINITY_DN2079_c2_g1_i2.p1	K00683
TRINITY_DN20810_c0_g1_i4.p1	K16911
TRINITY_DN20814_c0_g1_i4.p1	K03028
TRINITY_DN2081_c0_g3_i1.p1	K07890
TRINITY_DN20820_c5_g1_i1.p1	K13366
TRINITY_DN20828_c1_g1_i1.p1	K10100
TRINITY_DN20835_c0_g1_i1.p1	K15177
TRINITY_DN2084_c1_g1_i13.p1	K11275
TRINITY_DN20868_c0_g1_i9.p1	K07390
TRINITY_DN2087_c1_g1_i3.p1	K00825
TRINITY_DN20890_c0_g1_i1.p1	K23333
TRINITY_DN208_c10_g1_i1.p1	K24687
TRINITY_DN208_c27_g1_i2.p1	K00026
TRINITY_DN20901_c0_g4_i1.p1	K21246
TRINITY_DN20911_c0_g1_i2.p1	K01148
TRINITY_DN20911_c0_g2_i1.p1	K01148
TRINITY_DN20931_c0_g1_i1.p1	K10427
TRINITY_DN20936_c0_g1_i5.p1	K24971
TRINITY_DN20960_c3_g2_i1.p1	K16219
TRINITY_DN20963_c0_g1_i1.p1	K11647
TRINITY_DN20974_c1_g3_i2.p1	K24678
TRINITY_DN2097_c1_g1_i7.p1	K24195
TRINITY_DN20980_c0_g2_i1.p1	K10477
TRINITY_DN20997_c0_g1_i2.p1	K24682
TRINITY_DN21025_c0_g1_i1.p1	K08065
TRINITY_DN2102_c1_g1_i2.p1	K01551
TRINITY_DN21037_c0_g1_i1.p1	K19511
TRINITY_DN2103_c0_g1_i3.p1	K12349
TRINITY_DN21049_c0_g1_i1.p1	K17553
TRINITY_DN2104_c3_g1_i2.p1	K20195
TRINITY_DN21085_c0_g1_i1.p1	K18740
TRINITY_DN21088_c0_g1_i2.p1	K15516
TRINITY_DN2108_c2_g1_i10.p1	K23491
TRINITY_DN21091_c0_g2_i1.p1	K08106
TRINITY_DN21095_c0_g1_i2.p1	K01647
TRINITY_DN210_c0_g1_i2.p1	K04362
TRINITY_DN2110_c0_g1_i6.p1	K11423
TRINITY_DN21117_c0_g2_i2.p1	K10666
TRINITY_DN21141_c0_g1_i3.p1	K05696
TRINITY_DN21141_c0_g2_i19.p1	K05696
TRINITY_DN21147_c0_g1_i1.p1	K14571
TRINITY_DN21148_c3_g1_i1.p1	K00738
TRINITY_DN2115_c0_g1_i1.p1	K08064
TRINITY_DN2116_c21_g1_i1.p1	K12348
TRINITY_DN21184_c1_g1_i12.p1	K13517
TRINITY_DN21188_c2_g1_i1.p1	K11593
TRINITY_DN21195_c0_g1_i1.p1	K10408
TRINITY_DN211_c0_g1_i2.p1	K22369
TRINITY_DN21200_c1_g1_i6.p1	K04498
TRINITY_DN21200_c1_g3_i3.p1	K04498
TRINITY_DN21207_c1_g1_i10.p1	K12474
TRINITY_DN2120_c1_g1_i4.p1	K11344
TRINITY_DN2121_c1_g1_i2.p1	K02207
TRINITY_DN21221_c0_g2_i2.p1	K20051
TRINITY_DN21223_c0_g1_i1.p1	K02927
TRINITY_DN21228_c0_g1_i1.p1	K16536
TRINITY_DN21228_c1_g1_i1.p1	K16536
TRINITY_DN2124_c3_g1_i1.p1	K10573
TRINITY_DN2124_c3_g2_i1.p1	K10573
TRINITY_DN21261_c0_g1_i3.p1	K01634
TRINITY_DN21285_c0_g1_i2.p1	K22382
TRINITY_DN21291_c2_g1_i3.p1	K01623
TRINITY_DN212_c0_g1_i1.p1	K10839
TRINITY_DN21302_c0_g1_i6.p1	K01593
TRINITY_DN21332_c0_g1_i4.p1	K02878
TRINITY_DN2134_c0_g1_i4.p1	K00456
TRINITY_DN2134_c1_g2_i1.p1	K00797
TRINITY_DN2138_c0_g2_i2.p1	K07937
TRINITY_DN213_c0_g1_i12.p1	K06278
TRINITY_DN213_c1_g1_i14.p1	K16680
TRINITY_DN21409_c0_g1_i1.p1	K05283
TRINITY_DN2143_c2_g1_i1.p1	K24065
TRINITY_DN21449_c0_g1_i1.p1	K00934
TRINITY_DN2144_c1_g1_i1.p1	K24070
TRINITY_DN21462_c0_g1_i2.p1	K13356
TRINITY_DN21470_c0_g1_i2.p1	K10294
TRINITY_DN21474_c0_g1_i3.p1	K00049
TRINITY_DN21500_c0_g1_i1.p1	K18441
TRINITY_DN2150_c2_g2_i1.p1	K02737
TRINITY_DN21512_c0_g1_i3.p1	K05011
TRINITY_DN21528_c0_g1_i7.p1	K18203
TRINITY_DN21537_c0_g1_i3.p1	K11583
TRINITY_DN21547_c0_g1_i1.p1	K04513
TRINITY_DN21551_c0_g1_i2.p1	K03331
TRINITY_DN21561_c0_g1_i1.p1	K12847
TRINITY_DN21565_c0_g1_i2.p1	K08027
TRINITY_DN21584_c0_g1_i2.p1	K03106
TRINITY_DN21586_c0_g1_i3.p1	K05940
TRINITY_DN2159_c0_g1_i1.p1	K03963
TRINITY_DN215_c2_g1_i1.p1	K18398
TRINITY_DN21606_c0_g1_i2.p1	K19362
TRINITY_DN21611_c0_g1_i2.p1	K23562
TRINITY_DN21624_c0_g1_i5.p1	K17919
TRINITY_DN21628_c0_g1_i2.p1	K25168
TRINITY_DN2162_c1_g1_i2.p1	K11519
TRINITY_DN21636_c0_g1_i2.p1	K20222
TRINITY_DN21647_c4_g1_i3.p1	K19467
TRINITY_DN21648_c0_g1_i2.p1	K12200
TRINITY_DN2165_c0_g1_i1.p1	K03063
TRINITY_DN21677_c0_g1_i2.p1	K08802
TRINITY_DN21682_c0_g1_i2.p1	K11863
TRINITY_DN21685_c0_g1_i1.p1	K01231
TRINITY_DN21686_c0_g1_i1.p1	K13143
TRINITY_DN21693_c0_g1_i2.p1	K14209
TRINITY_DN216_c5_g1_i4.p1	K14210
TRINITY_DN216_c7_g1_i7.p1	K09499
TRINITY_DN21701_c1_g5_i1.p1	K10223
TRINITY_DN21708_c0_g1_i3.p1	K10660
TRINITY_DN21708_c1_g1_i1.p1	K03352
TRINITY_DN21734_c0_g1_i7.p1	K23625
TRINITY_DN21769_c0_g1_i24.p1	K03234
TRINITY_DN21770_c0_g1_i1.p1	K09530
TRINITY_DN21775_c0_g1_i3.p1	K17751
TRINITY_DN21778_c0_g1_i3.p1	K23222
TRINITY_DN2179_c0_g1_i2.p1	K17535
TRINITY_DN217_c1_g1_i2.p1	K18763
TRINITY_DN2181_c1_g1_i2.p1	K14676
TRINITY_DN21825_c0_g1_i1.p1	K04439
TRINITY_DN21837_c2_g1_i1.p1	K11352
TRINITY_DN21853_c4_g2_i1.p1	K10482
TRINITY_DN21853_c5_g1_i1.p1	K00965
TRINITY_DN21855_c5_g1_i1.p1	K00445
TRINITY_DN21855_c5_g2_i1.p2	K00445
TRINITY_DN2191_c2_g1_i1.p1	K22063
TRINITY_DN21931_c1_g1_i9.p1	K15369
TRINITY_DN21939_c0_g1_i2.p1	K22555
TRINITY_DN21949_c1_g1_i1.p1	K20160
TRINITY_DN21958_c0_g1_i1.p1	K17499
TRINITY_DN2196_c0_g1_i25.p1	K20639
TRINITY_DN21971_c0_g1_i2.p1	K11847
TRINITY_DN2198_c3_g1_i1.p1	K17609
TRINITY_DN22007_c0_g1_i3.p1	K01872
TRINITY_DN2201_c0_g1_i1.p1	K00326
TRINITY_DN2201_c1_g1_i1.p1	K20989
TRINITY_DN2201_c2_g1_i2.p1	K00698
TRINITY_DN2202_c6_g1_i1.p1	K00710
TRINITY_DN2203_c0_g2_i1.p1	K14445
TRINITY_DN2204_c1_g1_i9.p1	K05853
TRINITY_DN22065_c0_g1_i1.p1	K15290
TRINITY_DN2208_c1_g1_i2.p1	K00485
TRINITY_DN22104_c0_g1_i1.p1	K07934
TRINITY_DN2214_c7_g1_i2.p1	K18134
TRINITY_DN2215_c0_g1_i2.p1	K17822
TRINITY_DN22160_c0_g1_i5.p1	K24738
TRINITY_DN2216_c4_g1_i1.p1	K09556
TRINITY_DN22178_c1_g1_i5.p1	K04399
TRINITY_DN22187_c0_g2_i1.p1	K12161
TRINITY_DN22189_c0_g1_i4.p1	K00889
TRINITY_DN22192_c0_g1_i1.p1	K08826
TRINITY_DN22193_c0_g1_i3.p1	K21436
TRINITY_DN2219_c2_g1_i1.p1	K24942
TRINITY_DN2219_c4_g1_i7.p1	K10416
TRINITY_DN22201_c0_g1_i1.p1	K20222
TRINITY_DN22202_c0_g1_i9.p1	K17512
TRINITY_DN22206_c0_g1_i2.p1	K10691
TRINITY_DN22211_c0_g1_i1.p1	K20828
TRINITY_DN22222_c0_g1_i1.p1	K08776
TRINITY_DN2222_c0_g1_i1.p1	K13216
TRINITY_DN22233_c0_g1_i1.p1	K00232
TRINITY_DN22236_c1_g1_i3.p1	K10588
TRINITY_DN22239_c0_g2_i2.p1	K02156
TRINITY_DN22240_c0_g1_i1.p1	K08789
TRINITY_DN22242_c2_g1_i3.p1	K05751
TRINITY_DN22257_c0_g1_i2.p1	K08601
TRINITY_DN22267_c1_g2_i1.p1	K10695
TRINITY_DN22289_c0_g1_i1.p1	K17407
TRINITY_DN2233_c0_g1_i1.p1	K01724
TRINITY_DN2234_c0_g1_i1.p1	K15102
TRINITY_DN22354_c0_g1_i8.p1	K04370
TRINITY_DN22355_c0_g1_i6.p1	K03036
TRINITY_DN22380_c0_g1_i7.p1	K08823
TRINITY_DN223_c0_g2_i8.p1	K04598
TRINITY_DN22402_c1_g1_i4.p1	K26163
TRINITY_DN22402_c2_g2_i1.p1	K20164
TRINITY_DN22416_c0_g1_i2.p1	K08492
TRINITY_DN2241_c0_g1_i1.p1	K06271
TRINITY_DN22423_c3_g1_i2.p1	K00463
TRINITY_DN22424_c0_g1_i2.p1	K23297
TRINITY_DN22426_c2_g1_i2.p1	K06679
TRINITY_DN22433_c0_g3_i1.p2	K23965
TRINITY_DN22440_c0_g1_i6.p1	K11406
TRINITY_DN22455_c0_g1_i2.p1	K17776
TRINITY_DN22463_c0_g1_i2.p1	K15156
TRINITY_DN22490_c0_g2_i1.p1	K14386
TRINITY_DN22494_c0_g1_i3.p1	K10752
TRINITY_DN22506_c0_g1_i3.p1	K05665
TRINITY_DN22513_c0_g1_i2.p1	K05665
TRINITY_DN22514_c0_g1_i8.p1	K20629
TRINITY_DN22518_c0_g1_i8.p2	K03424
TRINITY_DN22524_c0_g1_i3.p1	K25817
TRINITY_DN22534_c0_g1_i2.p1	K22940
TRINITY_DN22535_c0_g1_i1.p1	K10408
TRINITY_DN22537_c2_g1_i3.p1	K03424
TRINITY_DN22556_c1_g1_i1.p1	K11426
TRINITY_DN2255_c0_g4_i1.p1	K06237
TRINITY_DN2256_c0_g2_i1.p1	K04536
TRINITY_DN2257_c0_g1_i1.p1	K03962
TRINITY_DN22599_c0_g1_i2.p1	K06083
TRINITY_DN22599_c0_g2_i2.p1	K20792
TRINITY_DN225_c2_g1_i1.p1	K21066
TRINITY_DN22606_c1_g1_i1.p1	K00030
TRINITY_DN22606_c1_g2_i2.p2	K13504
TRINITY_DN22611_c0_g1_i5.p1	K16316
TRINITY_DN22642_c0_g1_i1.p1	K14459
TRINITY_DN22644_c0_g1_i2.p1	K10317
TRINITY_DN22657_c0_g1_i1.p1	K04170
TRINITY_DN22667_c0_g1_i2.p1	K23617
TRINITY_DN22688_c0_g2_i2.p1	K25939
TRINITY_DN2269_c0_g2_i2.p1	K20128
TRINITY_DN22721_c0_g1_i4.p1	K11978
TRINITY_DN22727_c2_g1_i2.p1	K18529
TRINITY_DN22733_c0_g1_i1.p1	K02377
TRINITY_DN22737_c0_g1_i2.p1	K02981
TRINITY_DN22758_c1_g1_i2.p1	K03164
TRINITY_DN2275_c1_g1_i10.p1	K14720
TRINITY_DN227_c2_g1_i2.p1	K24469
TRINITY_DN22808_c2_g2_i6.p1	K13813
TRINITY_DN22820_c0_g1_i1.p1	K13356
TRINITY_DN22835_c0_g1_i4.p1	K18752
TRINITY_DN22843_c0_g1_i4.p1	K22808
TRINITY_DN22866_c0_g1_i1.p1	K14314
TRINITY_DN22871_c0_g3_i1.p1	K22377
TRINITY_DN2288_c0_g1_i7.p1	K15028
TRINITY_DN22903_c0_g1_i4.p1	K23859
TRINITY_DN22908_c0_g1_i2.p1	K14772
TRINITY_DN22918_c2_g1_i1.p1	K22735
TRINITY_DN22931_c0_g1_i3.p1	K08864
TRINITY_DN22936_c0_g1_i2.p1	K14689
TRINITY_DN22949_c0_g2_i1.p1	K23327
TRINITY_DN22950_c0_g1_i3.p1	K23342
TRINITY_DN22962_c0_g1_i3.p1	K09624
TRINITY_DN22970_c0_g1_i14.p1	K26111
TRINITY_DN22981_c2_g1_i1.p1	K17545
TRINITY_DN2298_c1_g1_i12.p1	K04430
TRINITY_DN229_c15_g1_i1.p1	K21954
TRINITY_DN23010_c2_g2_i1.p1	K03846
TRINITY_DN23025_c0_g1_i8.p1	K16465
TRINITY_DN23025_c1_g1_i5.p1	K09114
TRINITY_DN23033_c1_g2_i2.p1	K25720
TRINITY_DN23038_c0_g2_i1.p1	K09022
TRINITY_DN23077_c0_g1_i1.p1	K18040
TRINITY_DN23085_c0_g1_i1.p1	K12811
TRINITY_DN23086_c1_g1_i1.p1	K11214
TRINITY_DN2309_c1_g1_i1.p1	K23972
TRINITY_DN23101_c0_g1_i1.p1	K13949
TRINITY_DN23119_c0_g1_i1.p1	K21970
TRINITY_DN23179_c0_g1_i4.p1	K21919
TRINITY_DN23180_c0_g1_i4.p1	K17987
TRINITY_DN231_c10_g1_i12.p1	K04412
TRINITY_DN23219_c0_g1_i2.p1	K23368
TRINITY_DN23229_c0_g1_i5.p1	K18408
TRINITY_DN23236_c0_g1_i6.p1	K12384
TRINITY_DN2323_c5_g1_i14.p1	K11262
TRINITY_DN2323_c5_g2_i1.p1	K01968
TRINITY_DN2324_c0_g2_i2.p1	K07939
TRINITY_DN23267_c0_g2_i1.p1	K01019
TRINITY_DN23287_c0_g1_i2.p1	K07204
TRINITY_DN2329_c3_g1_i3.p1	K01074
TRINITY_DN232_c2_g1_i1.p1	K03841
TRINITY_DN232_c5_g3_i2.p1	K03841
TRINITY_DN2331_c2_g1_i1.p1	K11459
TRINITY_DN23342_c0_g2_i1.p1	K18619
TRINITY_DN23359_c3_g1_i1.p1	K19348
TRINITY_DN23366_c5_g1_i3.p1	K05127
TRINITY_DN23383_c2_g2_i1.p1	K01025
TRINITY_DN23385_c1_g1_i1.p1	K08337
TRINITY_DN23400_c3_g1_i1.p1	K00993
TRINITY_DN23421_c0_g1_i2.p1	K08342
TRINITY_DN23424_c0_g1_i2.p1	K17925
TRINITY_DN23424_c0_g2_i1.p1	K17925
TRINITY_DN23429_c4_g1_i2.p1	K09592
TRINITY_DN23431_c0_g1_i2.p1	K18171
TRINITY_DN23439_c1_g1_i2.p1	K18932
TRINITY_DN23468_c1_g1_i4.p1	K10645
TRINITY_DN23470_c0_g1_i2.p1	K00858
TRINITY_DN23475_c0_g1_i1.p1	K24020
TRINITY_DN234_c0_g1_i1.p1	K16939
TRINITY_DN23504_c0_g1_i6.p1	K00649
TRINITY_DN23515_c0_g2_i1.p1	K00600
TRINITY_DN23529_c0_g1_i3.p1	K26141
TRINITY_DN23534_c0_g1_i4.p1	K20526
TRINITY_DN23536_c2_g1_i9.p1	K00738
TRINITY_DN23541_c2_g1_i2.p1	K24941
TRINITY_DN23545_c0_g1_i3.p1	K05679
TRINITY_DN23554_c0_g1_i1.p1	K08513
TRINITY_DN23570_c0_g1_i2.p1	K14525
TRINITY_DN23586_c0_g2_i3.p1	K10630
TRINITY_DN23593_c0_g3_i1.p1	K13208
TRINITY_DN23600_c0_g2_i1.p1	K10799
TRINITY_DN23601_c0_g1_i2.p1	K05016
TRINITY_DN2362_c1_g1_i2.p1	K03030
TRINITY_DN23675_c3_g2_i2.p1	K05673
TRINITY_DN23687_c0_g1_i1.p1	K24778
TRINITY_DN236_c0_g1_i5.p1	K23896
TRINITY_DN23707_c5_g1_i1.p1	K05756
TRINITY_DN23711_c0_g1_i8.p1	K25129
TRINITY_DN23711_c0_g2_i3.p1	K25129
TRINITY_DN23721_c0_g1_i3.p1	K04715
TRINITY_DN23740_c3_g2_i1.p1	K14686
TRINITY_DN23740_c5_g1_i2.p1	K13809
TRINITY_DN23756_c3_g1_i2.p1	K19197
TRINITY_DN23791_c0_g1_i2.p1	K14856
TRINITY_DN23808_c0_g1_i2.p1	K20705
TRINITY_DN23818_c0_g1_i4.p1	K19368
TRINITY_DN2381_c1_g1_i5.p1	K14213
TRINITY_DN23825_c0_g2_i3.p1	K12396
TRINITY_DN23832_c2_g1_i1.p1	K14824
TRINITY_DN23848_c0_g1_i1.p1	K04794
TRINITY_DN23859_c4_g1_i2.p1	K24680
TRINITY_DN23876_c1_g1_i6.p1	K08018
TRINITY_DN23881_c1_g1_i1.p1	K19176
TRINITY_DN23883_c0_g1_i3.p1	K01866
TRINITY_DN23887_c0_g1_i2.p1	K18086
TRINITY_DN2388_c0_g1_i3.p1	K00693
TRINITY_DN2388_c2_g1_i2.p1	K20032
TRINITY_DN238_c1_g1_i1.p1	K02150
TRINITY_DN23904_c0_g1_i3.p1	K02932
TRINITY_DN2390_c0_g1_i2.p1	K11248
TRINITY_DN23911_c0_g1_i2.p1	K06226
TRINITY_DN23936_c0_g2_i16.p1	K10408
TRINITY_DN23947_c0_g1_i1.p1	K04807
TRINITY_DN23953_c3_g1_i1.p1	K12310
TRINITY_DN23965_c0_g1_i1.p1	K25219
TRINITY_DN23967_c0_g2_i1.p1	K12487
TRINITY_DN23968_c0_g1_i2.p1	K11980
TRINITY_DN23992_c3_g1_i1.p1	K03843
TRINITY_DN23994_c1_g2_i1.p1	K24175
TRINITY_DN23997_c0_g1_i1.p1	K11862
TRINITY_DN2399_c0_g1_i1.p1	K05754
TRINITY_DN23_c6_g3_i2.p1	K03954
TRINITY_DN24013_c1_g2_i1.p1	K08150
TRINITY_DN2401_c7_g1_i2.p1	K09552
TRINITY_DN24052_c0_g1_i2.p1	K20241
TRINITY_DN2405_c2_g1_i2.p1	K07562
TRINITY_DN24064_c1_g1_i2.p1	K00729
TRINITY_DN24069_c0_g1_i2.p1	K06051
TRINITY_DN24076_c1_g1_i2.p1	K11108
TRINITY_DN24077_c0_g1_i1.p1	K13866
TRINITY_DN24089_c0_g1_i1.p1	K18532
TRINITY_DN2408_c0_g3_i2.p1	K07925
TRINITY_DN2414_c0_g1_i1.p2	K02267
TRINITY_DN2414_c17_g1_i1.p1	K06630
TRINITY_DN2414_c1_g2_i3.p1	K17491
TRINITY_DN24157_c0_g1_i4.p1	K00213
TRINITY_DN24168_c6_g1_i2.p1	K24050
TRINITY_DN24186_c0_g1_i1.p1	K13143
TRINITY_DN24191_c3_g1_i3.p1	K16498
TRINITY_DN241_c0_g1_i6.p1	K13051
TRINITY_DN24209_c1_g1_i2.p1	K04352
TRINITY_DN24221_c0_g2_i1.p1	K06051
TRINITY_DN2423_c4_g2_i1.p1	K08675
TRINITY_DN24251_c9_g1_i1.p1	K06820
TRINITY_DN242_c12_g2_i2.p1	K03456
TRINITY_DN242_c19_g1_i3.p1	K04461
TRINITY_DN242_c2_g1_i1.p1	K12891
TRINITY_DN24316_c3_g1_i1.p1	K03844
TRINITY_DN24316_c7_g1_i1.p1	K22145
TRINITY_DN2431_c0_g1_i1.p1	K03950
TRINITY_DN24321_c0_g1_i5.p1	K05305
TRINITY_DN24359_c0_g1_i2.p1	K22285
TRINITY_DN2435_c1_g2_i2.p1	K20822
TRINITY_DN24376_c0_g1_i1.p1	K24810
TRINITY_DN2437_c0_g1_i8.p1	K12655
TRINITY_DN2439_c1_g1_i1.p1	K12185
TRINITY_DN24405_c0_g1_i1.p1	K00718
TRINITY_DN24448_c0_g2_i1.p1	K12323
TRINITY_DN24450_c0_g1_i2.p1	K10646
TRINITY_DN24451_c5_g1_i1.p1	K19332
TRINITY_DN24465_c1_g2_i8.p1	K10641
TRINITY_DN24477_c0_g1_i2.p1	K06054
TRINITY_DN2447_c0_g1_i1.p1	K04718
TRINITY_DN24483_c1_g3_i1.p1	K15116
TRINITY_DN24489_c0_g1_i8.p1	K24637
TRINITY_DN2448_c2_g1_i12.p1	K23714
TRINITY_DN24491_c0_g1_i2.p1	K23460
TRINITY_DN24491_c1_g1_i1.p1	K02366
TRINITY_DN24492_c2_g1_i5.p1	K10343
TRINITY_DN244_c0_g1_i2.p1	K00799
TRINITY_DN24509_c7_g1_i1.p1	K17824
TRINITY_DN24535_c0_g1_i1.p1	K10646
TRINITY_DN24550_c0_g1_i2.p1	K15164
TRINITY_DN2455_c0_g1_i1.p1	K23735
TRINITY_DN24561_c0_g1_i1.p1	K03032
TRINITY_DN24561_c1_g2_i5.p1	K02357
TRINITY_DN24620_c0_g1_i1.p1	K14021
TRINITY_DN24626_c0_g1_i1.p1	K14638
TRINITY_DN24655_c1_g1_i3.p1	K16280
TRINITY_DN2465_c0_g2_i2.p1	K18085
TRINITY_DN24669_c0_g1_i4.p1	K06100
TRINITY_DN24676_c0_g2_i2.p1	K01530
TRINITY_DN2468_c0_g1_i11.p1	K20131
TRINITY_DN2469_c1_g1_i1.p1	K05015
TRINITY_DN24717_c1_g1_i1.p1	K15502
TRINITY_DN24719_c1_g1_i7.p1	K00311
TRINITY_DN24753_c0_g1_i1.p1	K06669
TRINITY_DN24771_c0_g1_i1.p1	K13044
TRINITY_DN24794_c0_g1_i1.p1	K06095
TRINITY_DN24808_c0_g1_i1.p1	K20792
TRINITY_DN24810_c0_g1_i3.p1	K13578
TRINITY_DN24829_c0_g1_i3.p1	K05677
TRINITY_DN24852_c1_g1_i2.p1	K10646
TRINITY_DN2485_c0_g1_i1.p1	K05768
TRINITY_DN24870_c2_g1_i2.p1	K20168
TRINITY_DN24872_c0_g1_i1.p1	K14995
TRINITY_DN24877_c0_g1_i1.p1	K11088
TRINITY_DN24903_c0_g1_i3.p1	K06185
TRINITY_DN24903_c1_g1_i3.p1	K15305
TRINITY_DN2490_c0_g4_i2.p1	K12646
TRINITY_DN24919_c0_g1_i8.p1	K07863
TRINITY_DN24924_c0_g1_i1.p1	K05954
TRINITY_DN24925_c0_g1_i3.p1	K13184
TRINITY_DN24929_c0_g1_i2.p1	K04447
TRINITY_DN24962_c0_g1_i1.p1	K14821
TRINITY_DN24964_c1_g1_i1.p1	K10733
TRINITY_DN24984_c0_g1_i2.p1	K13949
TRINITY_DN24988_c0_g2_i1.p1	K17595
TRINITY_DN25022_c0_g1_i1.p1	K15502
TRINITY_DN25028_c0_g1_i1.p1	K17617
TRINITY_DN25033_c0_g1_i4.p1	K16821
TRINITY_DN25047_c0_g1_i3.p1	K25215
TRINITY_DN2504_c0_g1_i1.p1	K04095
TRINITY_DN25061_c0_g1_i1.p1	K10478
TRINITY_DN25065_c0_g1_i1.p1	K11842
TRINITY_DN25091_c0_g1_i1.p1	K09598
TRINITY_DN25092_c0_g1_i4.p1	K17600
TRINITY_DN25098_c0_g1_i15.p1	K01897
TRINITY_DN2509_c0_g2_i1.p1	K15014
TRINITY_DN250_c0_g1_i1.p1	K03936
TRINITY_DN25105_c0_g1_i7.p1	K13510
TRINITY_DN25110_c0_g2_i6.p1	K19983
TRINITY_DN25111_c0_g1_i1.p1	K15259
TRINITY_DN25112_c0_g1_i2.p1	K23532
TRINITY_DN25114_c0_g2_i1.p1	K02967
TRINITY_DN25123_c0_g1_i13.p1	K20317
TRINITY_DN25123_c1_g1_i3.p1	K20317
TRINITY_DN2516_c2_g1_i3.p1	K12168
TRINITY_DN2516_c6_g1_i7.p1	K19525
TRINITY_DN25171_c0_g1_i10.p1	K03362
TRINITY_DN25196_c0_g1_i2.p1	K12850
TRINITY_DN251_c0_g1_i3.p1	K19721
TRINITY_DN25200_c0_g1_i2.p1	K12197
TRINITY_DN25207_c2_g1_i1.p1	K08789
TRINITY_DN25217_c0_g1_i7.p1	K04994
TRINITY_DN2521_c6_g1_i1.p1	K09049
TRINITY_DN25226_c0_g1_i17.p1	K12230
TRINITY_DN2522_c0_g1_i1.p1	K15381
TRINITY_DN2522_c5_g1_i3.p1	K18463
TRINITY_DN25265_c1_g1_i2.p1	K23863
TRINITY_DN25270_c0_g1_i2.p1	K01338
TRINITY_DN25289_c0_g1_i4.p1	K09275
TRINITY_DN25298_c0_g1_i2.p1	K00922
TRINITY_DN25310_c1_g1_i1.p1	K20135
TRINITY_DN25315_c0_g1_i1.p1	K14611
TRINITY_DN2532_c2_g1_i3.p1	K02144
TRINITY_DN2533_c19_g1_i1.p1	K11275
TRINITY_DN25348_c0_g1_i4.p1	K00452
TRINITY_DN2535_c3_g1_i1.p1	K00235
TRINITY_DN25362_c0_g1_i3.p1	K25139
TRINITY_DN25365_c0_g1_i1.p1	K00065
TRINITY_DN25377_c1_g1_i1.p1	K24512
TRINITY_DN25415_c0_g1_i1.p1	K01597
TRINITY_DN2541_c0_g3_i1.p1	K00134
TRINITY_DN25469_c2_g1_i7.p1	K03134
TRINITY_DN25478_c0_g1_i1.p1	K09594
TRINITY_DN25478_c0_g2_i1.p1	K09594
TRINITY_DN25485_c0_g1_i2.p1	K01191
TRINITY_DN254_c0_g1_i1.p1	K19519
TRINITY_DN2552_c0_g1_i1.p1	K17458
TRINITY_DN25535_c1_g1_i1.p1	K08333
TRINITY_DN25541_c0_g1_i1.p1	K23853
TRINITY_DN25589_c0_g1_i1.p1	K23377
TRINITY_DN2558_c0_g4_i2.p1	K01426
TRINITY_DN25596_c0_g1_i2.p1	K18932
TRINITY_DN255_c0_g1_i1.p1	K03263
TRINITY_DN25636_c0_g1_i1.p1	K01530
TRINITY_DN2564_c0_g1_i1.p1	K10694
TRINITY_DN25676_c0_g1_i1.p1	K04575
TRINITY_DN25679_c0_g1_i8.p1	K02939
TRINITY_DN2567_c0_g1_i10.p1	K05694
TRINITY_DN2570_c0_g1_i15.p1	K17478
TRINITY_DN25735_c0_g1_i3.p1	K21844
TRINITY_DN25736_c0_g1_i4.p1	K02264
TRINITY_DN25737_c0_g1_i1.p1	K07566
TRINITY_DN2574_c0_g1_i1.p1	K23480
TRINITY_DN2574_c0_g5_i1.p1	K23480
TRINITY_DN25755_c0_g1_i4.p1	K01262
TRINITY_DN25757_c0_g1_i1.p1	K13355
TRINITY_DN25767_c0_g1_i2.p1	K11592
TRINITY_DN25780_c0_g1_i3.p1	K00819
TRINITY_DN25800_c0_g1_i1.p1	K17043
TRINITY_DN25815_c0_g1_i1.p1	K01939
TRINITY_DN25832_c0_g1_i9.p1	K22991
TRINITY_DN25844_c0_g1_i1.p1	K23338
TRINITY_DN25883_c1_g1_i1.p1	K06685
TRINITY_DN25895_c0_g1_i2.p1	K10281
TRINITY_DN25920_c0_g1_i2.p1	K20196
TRINITY_DN2592_c7_g1_i1.p1	K07152
TRINITY_DN25930_c1_g1_i2.p1	K11726
TRINITY_DN25973_c0_g1_i1.p1	K09666
TRINITY_DN25995_c1_g1_i2.p1	K01262
TRINITY_DN26004_c0_g1_i3.p2	K24536
TRINITY_DN26040_c0_g1_i1.p1	K11853
TRINITY_DN2605_c0_g1_i4.p1	K04630
